Admission Date,Admissions,Location
2022-07-04,28,Hospital_1
2022-07-05,37,Hospital_1
2022-07-06,34,Hospital_1
2022-07-07,37,Hospital_1
2022-07-08,12,Hospital_1
2022-07-09,8,Hospital_1
2022-07-10,11,Hospital_1
2022-07-11,26,Hospital_1
2022-07-12,36,Hospital_1
2022-07-13,39,Hospital_1
2022-07-14,47,Hospital_1
2022-07-15,38,Hospital_1
2022-07-16,25,Hospital_1
2022-07-17,35,Hospital_1
2022-07-18,46,Hospital_1
2022-07-19,47,Hospital_1
2022-07-20,40,Hospital_1
2022-07-21,53,Hospital_1
2022-07-22,37,Hospital_1
2022-07-23,19,Hospital_1
2022-07-24,26,Hospital_1
2022-07-25,43,Hospital_1
2022-07-26,27,Hospital_1
2022-07-27,44,Hospital_1
2022-07-28,40,Hospital_1
2022-07-29,33,Hospital_1
2022-07-30,17,Hospital_1
2022-07-31,20,Hospital_1
2022-08-01,42,Hospital_1
2022-08-02,35,Hospital_1
2022-08-03,34,Hospital_1
2022-08-04,56,Hospital_1
2022-08-05,21,Hospital_1
2022-08-06,27,Hospital_1
2022-08-07,29,Hospital_1
2022-08-08,44,Hospital_1
2022-08-09,44,Hospital_1
2022-08-10,43,Hospital_1
2022-08-11,55,Hospital_1
2022-08-12,46,Hospital_1
2022-08-13,36,Hospital_1
2022-08-14,43,Hospital_1
2022-08-15,38,Hospital_1
2022-08-16,38,Hospital_1
2022-08-17,49,Hospital_1
2022-08-18,60,Hospital_1
2022-08-19,34,Hospital_1
2022-08-20,22,Hospital_1
2022-08-21,37,Hospital_1
2022-08-22,47,Hospital_1
2022-08-23,40,Hospital_1
2022-08-24,39,Hospital_1
2022-08-25,47,Hospital_1
2022-08-26,27,Hospital_1
2022-08-27,24,Hospital_1
2022-08-28,39,Hospital_1
2022-08-29,46,Hospital_1
2022-08-30,63,Hospital_1
2022-08-31,45,Hospital_1
2022-09-01,46,Hospital_1
2022-09-02,36,Hospital_1
2022-09-03,26,Hospital_1
2022-09-04,33,Hospital_1
2022-09-05,50,Hospital_1
2022-09-06,44,Hospital_1
2022-09-07,61,Hospital_1
2022-09-08,49,Hospital_1
2022-09-09,42,Hospital_1
2022-09-10,23,Hospital_1
2022-09-11,41,Hospital_1
2022-09-12,55,Hospital_1
2022-09-13,58,Hospital_1
2022-09-14,35,Hospital_1
2022-09-15,46,Hospital_1
2022-09-16,45,Hospital_1
2022-09-17,32,Hospital_1
2022-09-18,32,Hospital_1
2022-09-19,42,Hospital_1
2022-09-20,37,Hospital_1
2022-09-21,53,Hospital_1
2022-09-22,48,Hospital_1
2022-09-23,37,Hospital_1
2022-09-24,22,Hospital_1
2022-09-25,46,Hospital_1
2022-09-26,51,Hospital_1
2022-09-27,54,Hospital_1
2022-09-28,48,Hospital_1
2022-09-29,63,Hospital_1
2022-09-30,35,Hospital_1
2022-10-01,32,Hospital_1
2022-10-02,34,Hospital_1
2022-10-03,60,Hospital_1
2022-10-04,65,Hospital_1
2022-10-05,56,Hospital_1
2022-10-06,65,Hospital_1
2022-10-07,42,Hospital_1
2022-10-08,25,Hospital_1
2022-10-09,38,Hospital_1
2022-10-10,58,Hospital_1
2022-10-11,60,Hospital_1
2022-10-12,63,Hospital_1
2022-10-13,65,Hospital_1
2022-10-14,47,Hospital_1
2022-10-15,23,Hospital_1
2022-10-16,53,Hospital_1
2022-10-17,81,Hospital_1
2022-10-18,63,Hospital_1
2022-10-19,67,Hospital_1
2022-10-20,62,Hospital_1
2022-10-21,55,Hospital_1
2022-10-22,26,Hospital_1
2022-10-23,48,Hospital_1
2022-10-24,55,Hospital_1
2022-10-25,64,Hospital_1
2022-10-26,66,Hospital_1
2022-10-27,64,Hospital_1
2022-10-28,51,Hospital_1
2022-10-29,31,Hospital_1
2022-10-30,40,Hospital_1
2022-10-31,63,Hospital_1
2022-11-01,70,Hospital_1
2022-11-02,73,Hospital_1
2022-11-03,59,Hospital_1
2022-11-04,50,Hospital_1
2022-11-05,23,Hospital_1
2022-11-06,44,Hospital_1
2022-11-07,55,Hospital_1
2022-11-08,58,Hospital_1
2022-11-09,66,Hospital_1
2022-11-10,60,Hospital_1
2022-11-11,62,Hospital_1
2022-11-12,32,Hospital_1
2022-11-13,49,Hospital_1
2022-11-14,67,Hospital_1
2022-11-15,70,Hospital_1
2022-11-16,67,Hospital_1
2022-11-17,65,Hospital_1
2022-11-18,56,Hospital_1
2022-11-19,39,Hospital_1
2022-11-20,52,Hospital_1
2022-11-21,62,Hospital_1
2022-11-22,64,Hospital_1
2022-11-23,57,Hospital_1
2022-11-24,59,Hospital_1
2022-11-25,71,Hospital_1
2022-11-26,34,Hospital_1
2022-11-27,51,Hospital_1
2022-11-28,56,Hospital_1
2022-11-29,70,Hospital_1
2022-11-30,71,Hospital_1
2022-12-01,36,Hospital_1
2022-12-02,26,Hospital_1
2022-12-03,34,Hospital_1
2022-12-04,44,Hospital_1
2022-12-05,58,Hospital_1
2022-12-06,55,Hospital_1
2022-12-07,63,Hospital_1
2022-12-08,62,Hospital_1
2022-12-09,50,Hospital_1
2022-12-10,34,Hospital_1
2022-12-11,40,Hospital_1
2022-12-12,63,Hospital_1
2022-12-13,60,Hospital_1
2022-12-14,57,Hospital_1
2022-12-15,59,Hospital_1
2022-12-16,57,Hospital_1
2022-12-17,33,Hospital_1
2022-12-18,44,Hospital_1
2022-12-19,57,Hospital_1
2022-12-20,59,Hospital_1
2022-12-21,57,Hospital_1
2022-12-22,55,Hospital_1
2022-12-23,42,Hospital_1
2022-12-24,28,Hospital_1
2022-12-25,39,Hospital_1
2022-12-26,39,Hospital_1
2022-12-27,62,Hospital_1
2022-12-28,67,Hospital_1
2022-12-29,58,Hospital_1
2022-12-30,47,Hospital_1
2022-12-31,32,Hospital_1
2023-01-01,31,Hospital_1
2023-01-02,57,Hospital_1
2023-01-03,58,Hospital_1
2023-01-04,49,Hospital_1
2023-01-05,67,Hospital_1
2023-01-06,55,Hospital_1
2023-01-07,22,Hospital_1
2023-01-08,55,Hospital_1
2023-01-09,57,Hospital_1
2023-01-10,50,Hospital_1
2023-01-11,54,Hospital_1
2023-01-12,57,Hospital_1
2023-01-13,45,Hospital_1
2023-01-14,33,Hospital_1
2023-01-15,43,Hospital_1
2023-01-16,79,Hospital_1
2023-01-17,63,Hospital_1
2023-01-18,66,Hospital_1
2023-01-19,65,Hospital_1
2023-01-20,48,Hospital_1
2023-01-21,32,Hospital_1
2023-01-22,54,Hospital_1
2023-01-23,73,Hospital_1
2023-01-24,64,Hospital_1
2023-01-25,65,Hospital_1
2023-01-26,56,Hospital_1
2023-01-27,37,Hospital_1
2023-01-28,32,Hospital_1
2023-01-29,50,Hospital_1
2023-01-30,55,Hospital_1
2023-01-31,61,Hospital_1
2023-02-01,50,Hospital_1
2023-02-02,60,Hospital_1
2023-02-03,44,Hospital_1
2023-02-04,38,Hospital_1
2023-02-05,60,Hospital_1
2023-02-06,66,Hospital_1
2023-02-07,72,Hospital_1
2023-02-08,64,Hospital_1
2023-02-09,74,Hospital_1
2023-02-10,60,Hospital_1
2023-02-11,30,Hospital_1
2023-02-12,31,Hospital_1
2023-02-13,65,Hospital_1
2023-02-14,65,Hospital_1
2023-02-15,71,Hospital_1
2023-02-16,64,Hospital_1
2023-02-17,57,Hospital_1
2023-02-18,37,Hospital_1
2023-02-19,35,Hospital_1
2023-02-20,67,Hospital_1
2023-02-21,60,Hospital_1
2023-02-22,62,Hospital_1
2023-02-23,87,Hospital_1
2023-02-24,55,Hospital_1
2023-02-25,30,Hospital_1
2023-02-26,44,Hospital_1
2023-02-27,69,Hospital_1
2023-02-28,74,Hospital_1
2023-03-01,58,Hospital_1
2023-03-02,65,Hospital_1
2023-03-03,52,Hospital_1
2023-03-04,33,Hospital_1
2023-03-05,49,Hospital_1
2023-03-06,69,Hospital_1
2023-03-07,61,Hospital_1
2023-03-08,65,Hospital_1
2023-03-09,68,Hospital_1
2023-03-10,50,Hospital_1
2023-03-11,29,Hospital_1
2023-03-12,50,Hospital_1
2023-03-13,66,Hospital_1
2023-03-14,74,Hospital_1
2023-03-15,58,Hospital_1
2023-03-16,83,Hospital_1
2023-03-17,59,Hospital_1
2023-03-18,35,Hospital_1
2023-03-19,63,Hospital_1
2023-03-20,71,Hospital_1
2023-03-21,52,Hospital_1
2023-03-22,75,Hospital_1
2023-03-23,56,Hospital_1
2023-03-24,48,Hospital_1
2023-03-25,31,Hospital_1
2023-03-26,36,Hospital_1
2023-03-27,56,Hospital_1
2023-03-28,62,Hospital_1
2023-03-29,54,Hospital_1
2023-03-30,59,Hospital_1
2023-03-31,42,Hospital_1
2023-04-01,26,Hospital_1
2023-04-02,39,Hospital_1
2023-04-03,44,Hospital_1
2023-04-04,45,Hospital_1
2023-04-05,46,Hospital_1
2023-04-06,48,Hospital_1
2023-04-07,39,Hospital_1
2023-04-08,24,Hospital_1
2023-04-09,39,Hospital_1
2023-04-10,64,Hospital_1
2023-04-11,59,Hospital_1
2023-04-12,69,Hospital_1
2023-04-13,57,Hospital_1
2023-04-14,37,Hospital_1
2023-04-15,31,Hospital_1
2023-04-16,33,Hospital_1
2023-04-17,46,Hospital_1
2023-04-18,62,Hospital_1
2023-04-19,58,Hospital_1
2023-04-20,45,Hospital_1
2023-04-21,7,Hospital_1
2023-04-22,26,Hospital_1
2023-04-23,26,Hospital_1
2023-04-24,45,Hospital_1
2023-04-25,73,Hospital_1
2023-04-26,68,Hospital_1
2023-04-27,76,Hospital_1
2023-04-28,45,Hospital_1
2023-04-29,19,Hospital_1
2023-04-30,37,Hospital_1
2023-05-01,57,Hospital_1
2023-05-02,64,Hospital_1
2023-05-03,64,Hospital_1
2023-05-04,72,Hospital_1
2023-05-05,53,Hospital_1
2023-05-06,26,Hospital_1
2023-05-07,46,Hospital_1
2023-05-08,57,Hospital_1
2023-05-09,57,Hospital_1
2023-05-10,65,Hospital_1
2023-05-11,60,Hospital_1
2023-05-12,44,Hospital_1
2023-05-13,32,Hospital_1
2023-05-14,52,Hospital_1
2023-05-15,66,Hospital_1
2023-05-16,62,Hospital_1
2023-05-17,73,Hospital_1
2023-05-18,64,Hospital_1
2023-05-19,59,Hospital_1
2023-05-20,28,Hospital_1
2023-05-21,63,Hospital_1
2023-05-22,66,Hospital_1
2023-05-23,68,Hospital_1
2023-05-24,55,Hospital_1
2023-05-25,59,Hospital_1
2023-05-26,54,Hospital_1
2023-05-27,23,Hospital_1
2023-05-28,42,Hospital_1
2023-05-29,75,Hospital_1
2023-05-30,61,Hospital_1
2023-05-31,76,Hospital_1
2023-06-01,71,Hospital_1
2023-06-02,58,Hospital_1
2023-06-03,22,Hospital_1
2023-06-04,44,Hospital_1
2023-06-05,65,Hospital_1
2023-06-06,87,Hospital_1
2023-06-07,79,Hospital_1
2023-06-08,60,Hospital_1
2023-06-09,57,Hospital_1
2023-06-10,31,Hospital_1
2023-06-11,42,Hospital_1
2023-06-12,57,Hospital_1
2023-06-13,77,Hospital_1
2023-06-14,70,Hospital_1
2023-06-15,64,Hospital_1
2023-06-16,58,Hospital_1
2023-06-17,29,Hospital_1
2023-06-18,50,Hospital_1
2023-06-19,72,Hospital_1
2023-06-20,67,Hospital_1
2023-06-21,72,Hospital_1
2023-06-22,67,Hospital_1
2023-06-23,58,Hospital_1
2023-06-24,25,Hospital_1
2023-06-25,44,Hospital_1
2023-06-26,55,Hospital_1
2023-06-27,31,Hospital_1
2023-06-28,19,Hospital_1
2023-06-29,20,Hospital_1
2023-06-30,27,Hospital_1
2023-07-01,33,Hospital_1
2023-07-02,39,Hospital_1
2023-07-03,61,Hospital_1
2023-07-04,69,Hospital_1
2023-07-05,71,Hospital_1
2023-07-06,54,Hospital_1
2023-07-07,50,Hospital_1
2023-07-08,25,Hospital_1
2023-07-09,43,Hospital_1
2023-07-10,71,Hospital_1
2023-07-11,62,Hospital_1
2023-07-12,83,Hospital_1
2023-07-13,64,Hospital_1
2023-07-14,53,Hospital_1
2023-07-15,34,Hospital_1
2023-07-16,56,Hospital_1
2023-07-17,64,Hospital_1
2023-07-18,72,Hospital_1
2023-07-19,59,Hospital_1
2023-07-20,70,Hospital_1
2023-07-21,26,Hospital_1
2023-07-22,22,Hospital_1
2023-07-23,51,Hospital_1
2023-07-24,56,Hospital_1
2023-07-25,84,Hospital_1
2023-07-26,72,Hospital_1
2023-07-27,50,Hospital_1
2023-07-28,42,Hospital_1
2023-07-29,32,Hospital_1
2023-07-30,54,Hospital_1
2023-07-31,63,Hospital_1
2023-08-01,50,Hospital_1
2023-08-02,52,Hospital_1
2023-08-03,64,Hospital_1
2023-08-04,52,Hospital_1
2023-08-05,45,Hospital_1
2023-08-06,41,Hospital_1
2023-08-07,74,Hospital_1
2023-08-08,73,Hospital_1
2023-08-09,45,Hospital_1
2023-08-10,79,Hospital_1
2023-08-11,53,Hospital_1
2023-08-12,42,Hospital_1
2023-08-13,58,Hospital_1
2023-08-14,65,Hospital_1
2023-08-15,61,Hospital_1
2023-08-16,50,Hospital_1
2023-08-17,81,Hospital_1
2023-08-18,61,Hospital_1
2023-08-19,32,Hospital_1
2023-08-20,47,Hospital_1
2023-08-21,63,Hospital_1
2023-08-22,77,Hospital_1
2023-08-23,60,Hospital_1
2023-08-24,68,Hospital_1
2023-08-25,64,Hospital_1
2023-08-26,37,Hospital_1
2023-08-27,63,Hospital_1
2023-08-28,57,Hospital_1
2023-08-29,58,Hospital_1
2023-08-30,62,Hospital_1
2023-08-31,84,Hospital_1
2023-09-01,58,Hospital_1
2023-09-02,40,Hospital_1
2023-09-03,64,Hospital_1
2023-09-04,64,Hospital_1
2023-09-05,77,Hospital_1
2023-09-06,89,Hospital_1
2023-09-07,70,Hospital_1
2023-09-08,72,Hospital_1
2023-09-09,36,Hospital_1
2023-09-10,61,Hospital_1
2023-09-11,61,Hospital_1
2023-09-12,78,Hospital_1
2023-09-13,86,Hospital_1
2023-09-14,90,Hospital_1
2023-09-15,74,Hospital_1
2023-09-16,42,Hospital_1
2023-09-17,57,Hospital_1
2023-09-18,77,Hospital_1
2023-09-19,86,Hospital_1
2023-09-20,67,Hospital_1
2023-09-21,89,Hospital_1
2023-09-22,60,Hospital_1
2023-09-23,33,Hospital_1
2023-09-24,58,Hospital_1
2023-09-25,71,Hospital_1
2023-09-26,79,Hospital_1
2023-09-27,75,Hospital_1
2023-09-28,94,Hospital_1
2023-09-29,45,Hospital_1
2023-09-30,43,Hospital_1
2023-10-01,68,Hospital_1
2023-10-02,68,Hospital_1
2023-10-03,90,Hospital_1
2023-10-04,80,Hospital_1
2023-10-05,86,Hospital_1
2023-10-06,72,Hospital_1
2023-10-07,40,Hospital_1
2023-10-08,74,Hospital_1
2023-10-09,81,Hospital_1
2023-10-10,77,Hospital_1
2023-10-11,97,Hospital_1
2023-10-12,76,Hospital_1
2023-10-13,67,Hospital_1
2023-10-14,34,Hospital_1
2023-10-15,49,Hospital_1
2023-10-16,86,Hospital_1
2023-10-17,84,Hospital_1
2023-10-18,95,Hospital_1
2023-10-19,98,Hospital_1
2023-10-20,92,Hospital_1
2023-10-21,40,Hospital_1
2023-10-22,50,Hospital_1
2023-10-23,76,Hospital_1
2023-10-24,91,Hospital_1
2023-10-25,68,Hospital_1
2023-10-26,85,Hospital_1
2023-10-27,70,Hospital_1
2023-10-28,40,Hospital_1
2023-10-29,59,Hospital_1
2023-10-30,70,Hospital_1
2023-10-31,76,Hospital_1
2023-11-01,73,Hospital_1
2023-11-02,86,Hospital_1
2023-11-03,60,Hospital_1
2023-11-04,40,Hospital_1
2023-11-05,60,Hospital_1
2023-11-06,61,Hospital_1
2023-11-07,68,Hospital_1
2023-11-08,76,Hospital_1
2023-11-09,103,Hospital_1
2023-11-10,75,Hospital_1
2023-11-11,48,Hospital_1
2023-11-12,55,Hospital_1
2023-11-13,69,Hospital_1
2023-11-14,79,Hospital_1
2023-11-15,93,Hospital_1
2023-11-16,73,Hospital_1
2023-11-17,73,Hospital_1
2023-11-18,43,Hospital_1
2023-11-19,59,Hospital_1
2023-11-20,67,Hospital_1
2023-11-21,96,Hospital_1
2023-11-22,72,Hospital_1
2023-11-23,78,Hospital_1
2023-11-24,70,Hospital_1
2023-11-25,43,Hospital_1
2023-11-26,75,Hospital_1
2023-11-27,100,Hospital_1
2023-11-28,81,Hospital_1
2023-11-29,96,Hospital_1
2023-11-30,92,Hospital_1
2023-12-01,60,Hospital_1
2023-12-02,49,Hospital_1
2023-12-03,28,Hospital_1
2023-12-04,53,Hospital_1
2023-12-05,99,Hospital_1
2023-12-06,101,Hospital_1
2023-12-07,93,Hospital_1
2023-12-08,73,Hospital_1
2023-12-09,44,Hospital_1
2023-12-10,73,Hospital_1
2023-12-11,65,Hospital_1
2023-12-12,97,Hospital_1
2023-12-13,88,Hospital_1
2023-12-14,83,Hospital_1
2023-12-15,70,Hospital_1
2023-12-16,40,Hospital_1
2023-12-17,62,Hospital_1
2023-12-18,90,Hospital_1
2023-12-19,110,Hospital_1
2023-12-20,59,Hospital_1
2023-12-21,85,Hospital_1
2023-12-22,80,Hospital_1
2023-12-23,34,Hospital_1
2023-12-24,53,Hospital_1
2023-12-25,67,Hospital_1
2023-12-26,83,Hospital_1
2023-12-27,65,Hospital_1
2023-12-28,66,Hospital_1
2023-12-29,62,Hospital_1
2023-12-30,58,Hospital_1
2023-12-31,54,Hospital_1
2024-01-01,41,Hospital_1
2024-01-02,68,Hospital_1
2024-01-03,71,Hospital_1
2024-01-04,81,Hospital_1
2024-01-05,70,Hospital_1
2024-01-06,51,Hospital_1
2024-01-07,50,Hospital_1
2024-01-08,82,Hospital_1
2024-01-09,64,Hospital_1
2024-01-10,82,Hospital_1
2024-01-11,75,Hospital_1
2024-01-12,74,Hospital_1
2024-01-13,33,Hospital_1
2024-01-14,58,Hospital_1
2024-01-15,78,Hospital_1
2024-01-16,88,Hospital_1
2024-01-17,101,Hospital_1
2024-01-18,90,Hospital_1
2024-01-19,60,Hospital_1
2024-01-20,37,Hospital_1
2024-01-21,65,Hospital_1
2024-01-22,83,Hospital_1
2024-01-23,77,Hospital_1
2024-01-24,82,Hospital_1
2024-01-25,79,Hospital_1
2024-01-26,81,Hospital_1
2024-01-27,45,Hospital_1
2024-01-28,55,Hospital_1
2024-01-29,85,Hospital_1
2024-01-30,85,Hospital_1
2024-01-31,82,Hospital_1
2024-02-01,77,Hospital_1
2024-02-02,81,Hospital_1
2024-02-03,42,Hospital_1
2024-02-04,49,Hospital_1
2024-02-05,98,Hospital_1
2024-02-06,84,Hospital_1
2024-02-07,88,Hospital_1
2024-02-08,83,Hospital_1
2024-02-09,61,Hospital_1
2024-02-10,48,Hospital_1
2024-02-11,64,Hospital_1
2024-02-12,58,Hospital_1
2024-02-13,87,Hospital_1
2024-02-14,108,Hospital_1
2024-02-15,86,Hospital_1
2024-02-16,65,Hospital_1
2024-02-17,47,Hospital_1
2024-02-18,55,Hospital_1
2024-02-19,69,Hospital_1
2024-02-20,95,Hospital_1
2024-02-21,79,Hospital_1
2024-02-22,88,Hospital_1
2024-02-23,64,Hospital_1
2024-02-24,30,Hospital_1
2024-02-25,54,Hospital_1
2024-02-26,96,Hospital_1
2024-02-27,85,Hospital_1
2024-02-28,83,Hospital_1
2024-02-29,83,Hospital_1
2024-03-01,67,Hospital_1
2024-03-02,33,Hospital_1
2024-03-03,64,Hospital_1
2024-03-04,62,Hospital_1
2024-03-05,91,Hospital_1
2024-03-06,96,Hospital_1
2024-03-07,78,Hospital_1
2024-03-08,72,Hospital_1
2024-03-09,34,Hospital_1
2024-03-10,60,Hospital_1
2024-03-11,75,Hospital_1
2024-03-12,66,Hospital_1
2024-03-13,76,Hospital_1
2024-03-14,78,Hospital_1
2024-03-15,57,Hospital_1
2024-03-16,40,Hospital_1
2024-03-17,49,Hospital_1
2024-03-18,79,Hospital_1
2024-03-19,77,Hospital_1
2024-03-20,70,Hospital_1
2024-03-21,71,Hospital_1
2024-03-22,49,Hospital_1
2024-03-23,41,Hospital_1
2024-03-24,57,Hospital_1
2024-03-25,74,Hospital_1
2024-03-26,67,Hospital_1
2024-03-27,64,Hospital_1
2024-03-28,66,Hospital_1
2024-03-29,57,Hospital_1
2024-03-30,45,Hospital_1
2024-03-31,58,Hospital_1
2024-04-01,74,Hospital_1
2024-04-02,62,Hospital_1
2024-04-03,67,Hospital_1
2024-04-04,73,Hospital_1
2024-04-05,70,Hospital_1
2024-04-06,42,Hospital_1
2024-04-07,52,Hospital_1
2024-04-08,38,Hospital_1
2024-04-09,21,Hospital_1
2024-04-10,20,Hospital_1
2024-04-11,24,Hospital_1
2024-04-12,42,Hospital_1
2024-04-13,41,Hospital_1
2024-04-14,46,Hospital_1
2024-04-15,91,Hospital_1
2024-04-16,63,Hospital_1
2024-04-17,66,Hospital_1
2024-04-18,90,Hospital_1
2024-04-19,96,Hospital_1
2024-04-20,44,Hospital_1
2024-04-21,77,Hospital_1
2024-04-22,82,Hospital_1
2024-04-23,80,Hospital_1
2024-04-24,72,Hospital_1
2024-04-25,88,Hospital_1
2024-04-26,57,Hospital_1
2024-04-27,37,Hospital_1
2024-04-28,62,Hospital_1
2024-04-29,86,Hospital_1
2024-04-30,78,Hospital_1
2024-05-01,85,Hospital_1
2024-05-02,57,Hospital_1
2024-05-03,53,Hospital_1
2024-05-04,59,Hospital_1
2024-05-05,65,Hospital_1
2024-05-06,97,Hospital_1
2024-05-07,71,Hospital_1
2024-05-08,94,Hospital_1
2024-05-09,89,Hospital_1
2024-05-10,69,Hospital_1
2024-05-11,49,Hospital_1
2024-05-12,73,Hospital_1
2024-05-13,98,Hospital_1
2024-05-14,78,Hospital_1
2024-05-15,97,Hospital_1
2024-05-16,94,Hospital_1
2024-05-17,82,Hospital_1
2024-05-18,50,Hospital_1
2024-05-19,65,Hospital_1
2024-05-20,108,Hospital_1
2024-05-21,106,Hospital_1
2024-05-22,79,Hospital_1
2024-05-23,80,Hospital_1
2024-05-24,69,Hospital_1
2024-05-25,46,Hospital_1
2024-05-26,78,Hospital_1
2024-05-27,96,Hospital_1
2024-05-28,83,Hospital_1
2024-05-29,95,Hospital_1
2024-05-30,90,Hospital_1
2024-05-31,82,Hospital_1
2024-06-01,39,Hospital_1
2024-06-02,80,Hospital_1
2024-06-03,90,Hospital_1
2024-06-04,87,Hospital_1
2024-06-05,93,Hospital_1
2024-06-06,97,Hospital_1
2024-06-07,72,Hospital_1
2024-06-08,42,Hospital_1
2024-06-09,61,Hospital_1
2024-06-10,86,Hospital_1
2024-06-11,77,Hospital_1
2024-06-12,97,Hospital_1
2024-06-13,87,Hospital_1
2024-06-14,90,Hospital_1
2024-06-15,26,Hospital_1
2024-06-16,19,Hospital_1
2024-06-17,34,Hospital_1
2024-06-18,35,Hospital_1
2024-06-19,75,Hospital_1
2024-06-20,87,Hospital_1
2024-06-21,86,Hospital_1
2024-06-22,56,Hospital_1
2024-06-23,64,Hospital_1
2024-06-24,97,Hospital_1
2024-06-25,86,Hospital_1
2024-06-26,108,Hospital_1
2024-06-27,98,Hospital_1
2024-06-28,69,Hospital_1
2024-06-29,43,Hospital_1
2024-06-30,61,Hospital_1
2024-07-01,91,Hospital_1
2024-07-02,72,Hospital_1
2024-07-03,96,Hospital_1
2024-07-04,101,Hospital_1
2024-07-05,70,Hospital_1
2024-07-06,58,Hospital_1
2024-07-07,59,Hospital_1
2024-07-08,91,Hospital_1
2024-07-09,78,Hospital_1
2024-07-10,94,Hospital_1
2024-07-11,86,Hospital_1
2024-07-12,79,Hospital_1
2024-07-13,46,Hospital_1
2024-07-14,58,Hospital_1
2024-07-15,80,Hospital_1
2024-07-16,71,Hospital_1
2024-07-17,76,Hospital_1
2024-07-18,88,Hospital_1
2024-07-19,70,Hospital_1
2024-07-20,46,Hospital_1
2024-07-21,51,Hospital_1
2024-07-22,78,Hospital_1
2024-07-23,80,Hospital_1
2024-07-24,105,Hospital_1
2024-07-25,76,Hospital_1
2024-07-26,68,Hospital_1
2024-07-27,41,Hospital_1
2024-07-28,68,Hospital_1
2024-07-29,91,Hospital_1
2024-07-30,95,Hospital_1
2024-07-31,77,Hospital_1
2024-08-01,73,Hospital_1
2024-08-02,69,Hospital_1
2024-08-03,49,Hospital_1
2024-08-04,58,Hospital_1
2024-08-05,71,Hospital_1
2024-08-06,89,Hospital_1
2024-08-07,118,Hospital_1
2024-08-08,95,Hospital_1
2024-08-09,77,Hospital_1
2024-08-10,43,Hospital_1
2024-08-11,41,Hospital_1
2024-08-12,95,Hospital_1
2024-08-13,83,Hospital_1
2024-08-14,82,Hospital_1
2024-08-15,93,Hospital_1
2024-08-16,88,Hospital_1
2024-08-17,37,Hospital_1
2024-08-18,65,Hospital_1
2024-08-19,92,Hospital_1
2024-08-20,84,Hospital_1
2024-08-21,89,Hospital_1
2024-08-22,88,Hospital_1
2024-08-23,80,Hospital_1
2024-08-24,33,Hospital_1
2024-08-25,64,Hospital_1
2024-08-26,97,Hospital_1
2024-08-27,101,Hospital_1
2024-08-28,96,Hospital_1
2024-08-29,82,Hospital_1
2024-08-30,70,Hospital_1
2024-08-31,36,Hospital_1
2024-09-01,49,Hospital_1
2024-09-02,101,Hospital_1
2024-09-03,88,Hospital_1
2024-09-04,93,Hospital_1
2024-09-05,84,Hospital_1
2024-09-06,72,Hospital_1
2024-09-07,40,Hospital_1
2024-09-08,70,Hospital_1
2024-09-09,92,Hospital_1
2024-09-10,83,Hospital_1
2024-09-11,87,Hospital_1
2024-09-12,85,Hospital_1
2024-09-13,85,Hospital_1
2024-09-14,44,Hospital_1
2024-09-15,64,Hospital_1
2024-09-16,100,Hospital_1
2024-09-17,110,Hospital_1
2024-09-18,87,Hospital_1
2024-09-19,85,Hospital_1
