Location,Month,Admitting Department,Admissions
Hospital_1,2022-07-01,Department_13,31
Hospital_1,2022-07-01,Department_14,26
Hospital_1,2022-07-01,Department_15,15
Hospital_1,2022-07-01,Department_16,17
Hospital_1,2022-07-01,Department_17,18
Hospital_1,2022-07-01,Department_18,11
Hospital_1,2022-07-01,Department_19,13
Hospital_1,2022-07-01,Department_20,12
Hospital_1,2022-07-01,Department_21,13
Hospital_1,2022-07-01,Department_22,10
Hospital_1,2022-07-01,Department_23,9
Hospital_1,2022-07-01,Department_24,11
Hospital_1,2022-07-01,Department_25,10
Hospital_1,2022-07-01,Department_26,7
Hospital_1,2022-07-01,Department_27,3
Hospital_1,2022-07-01,Department_28,9
Hospital_1,2022-07-01,Department_29,3
Hospital_1,2022-07-01,Department_30,2
Hospital_1,2022-07-01,Department_31,3
Hospital_1,2022-07-01,Department_32,2
Hospital_1,2022-07-01,Department_33,5
Hospital_1,2022-07-01,Department_34,2
Hospital_1,2022-07-01,Department_35,3
Hospital_1,2022-07-01,Department_36,1
Hospital_1,2022-07-01,Department_37,4
Hospital_1,2022-07-01,Department_38,1
Hospital_1,2022-07-01,Department_39,3
Hospital_1,2022-07-01,Department_51,1
Hospital_1,2022-07-01,Department_52,1
Hospital_1,2022-07-01,Department_62,1
Hospital_1,2022-08-01,Department_01,221
Hospital_1,2022-08-01,Department_02,86
Hospital_1,2022-08-01,Department_03,116
Hospital_1,2022-08-01,Department_04,88
Hospital_1,2022-08-01,Department_05,84
Hospital_1,2022-08-01,Department_06,43
Hospital_1,2022-08-01,Department_07,64
Hospital_1,2022-08-01,Department_08,57
Hospital_1,2022-08-01,Department_09,60
Hospital_1,2022-08-01,Department_10,43
Hospital_1,2022-08-01,Department_11,50
Hospital_1,2022-08-01,Department_12,37
Hospital_1,2022-08-01,Department_13,39
Hospital_1,2022-08-01,Department_14,29
Hospital_1,2022-08-01,Department_15,14
Hospital_1,2022-08-01,Department_16,25
Hospital_1,2022-08-01,Department_17,20
Hospital_1,2022-08-01,Department_18,16
Hospital_1,2022-08-01,Department_19,14
Hospital_1,2022-08-01,Department_20,16
Hospital_1,2022-08-01,Department_21,8
Hospital_1,2022-08-01,Department_22,9
Hospital_1,2022-08-01,Department_23,14
Hospital_1,2022-08-01,Department_24,11
Hospital_1,2022-08-01,Department_25,11
Hospital_1,2022-08-01,Department_26,8
Hospital_1,2022-08-01,Department_27,8
Hospital_1,2022-08-01,Department_28,7
Hospital_1,2022-08-01,Department_29,3
Hospital_1,2022-08-01,Department_30,3
Hospital_1,2022-08-01,Department_31,5
Hospital_1,2022-08-01,Department_32,4
Hospital_1,2022-08-01,Department_33,7
Hospital_1,2022-08-01,Department_34,3
Hospital_1,2022-08-01,Department_35,7
Hospital_1,2022-08-01,Department_36,4
Hospital_1,2022-08-01,Department_37,2
Hospital_1,2022-08-01,Department_38,1
Hospital_1,2022-08-01,Department_39,4
Hospital_1,2022-08-01,Department_40,1
Hospital_1,2022-08-01,Department_43,3
Hospital_1,2022-08-01,Department_44,1
Hospital_1,2022-08-01,Department_49,1
Hospital_1,2022-08-01,Department_50,1
Hospital_1,2022-08-01,Department_52,1
Hospital_1,2022-08-01,Department_53,1
Hospital_1,2022-09-01,Department_01,189
Hospital_1,2022-09-01,Department_02,123
Hospital_1,2022-09-01,Department_03,128
Hospital_1,2022-09-01,Department_04,84
Hospital_1,2022-09-01,Department_05,89
Hospital_1,2022-09-01,Department_06,58
Hospital_1,2022-09-01,Department_07,58
Hospital_1,2022-09-01,Department_08,56
Hospital_1,2022-09-01,Department_09,39
Hospital_1,2022-09-01,Department_10,56
Hospital_1,2022-09-01,Department_11,52
Hospital_1,2022-09-01,Department_12,45
Hospital_1,2022-09-01,Department_13,34
Hospital_1,2022-09-01,Department_14,24
Hospital_1,2022-09-01,Department_15,23
Hospital_1,2022-09-01,Department_16,18
Hospital_1,2022-09-01,Department_17,27
Hospital_1,2022-09-01,Department_18,11
Hospital_1,2022-09-01,Department_19,17
Hospital_1,2022-09-01,Department_20,11
Hospital_1,2022-09-01,Department_21,14
Hospital_1,2022-09-01,Department_22,12
Hospital_1,2022-09-01,Department_23,3
Hospital_1,2022-09-01,Department_24,13
Hospital_1,2022-09-01,Department_25,10
Hospital_1,2022-09-01,Department_26,6
Hospital_1,2022-09-01,Department_27,12
Hospital_1,2022-09-01,Department_28,10
Hospital_1,2022-09-01,Department_29,11
Hospital_1,2022-09-01,Department_30,8
Hospital_1,2022-09-01,Department_31,5
Hospital_1,2022-09-01,Department_32,5
Hospital_1,2022-09-01,Department_33,4
Hospital_1,2022-09-01,Department_34,5
Hospital_1,2022-09-01,Department_35,5
Hospital_1,2022-09-01,Department_36,1
Hospital_1,2022-09-01,Department_37,4
Hospital_1,2022-09-01,Department_38,2
Hospital_1,2022-09-01,Department_39,5
Hospital_1,2022-09-01,Department_40,4
Hospital_1,2022-09-01,Department_41,1
Hospital_1,2022-09-01,Department_43,2
Hospital_1,2022-09-01,Department_46,1
Hospital_1,2022-09-01,Department_47,1
Hospital_1,2022-09-01,Department_50,1
Hospital_1,2022-09-01,Department_53,2
Hospital_1,2022-09-01,Department_56,1
Hospital_1,2022-10-01,Department_01,234
Hospital_1,2022-10-01,Department_02,228
Hospital_1,2022-10-01,Department_03,125
Hospital_1,2022-10-01,Department_04,87
Hospital_1,2022-10-01,Department_05,100
Hospital_1,2022-10-01,Department_06,81
Hospital_1,2022-10-01,Department_07,79
Hospital_1,2022-10-01,Department_08,78
Hospital_1,2022-10-01,Department_09,65
Hospital_1,2022-10-01,Department_10,49
Hospital_1,2022-10-01,Department_11,52
Hospital_1,2022-10-01,Department_12,49
Hospital_1,2022-10-01,Department_13,51
Hospital_1,2022-10-01,Department_14,27
Hospital_1,2022-10-01,Department_15,22
Hospital_1,2022-10-01,Department_16,22
Hospital_1,2022-10-01,Department_17,32
Hospital_1,2022-10-01,Department_18,23
Hospital_1,2022-10-01,Department_19,17
Hospital_1,2022-10-01,Department_20,21
Hospital_1,2022-10-01,Department_21,14
Hospital_1,2022-10-01,Department_22,9
Hospital_1,2022-10-01,Department_23,6
Hospital_1,2022-10-01,Department_24,18
Hospital_1,2022-10-01,Department_25,14
Hospital_1,2022-10-01,Department_26,15
Hospital_1,2022-10-01,Department_27,9
Hospital_1,2022-10-01,Department_28,16
Hospital_1,2022-10-01,Department_29,10
Hospital_1,2022-10-01,Department_30,10
Hospital_1,2022-10-01,Department_31,15
Hospital_1,2022-10-01,Department_32,9
Hospital_1,2022-10-01,Department_33,5
Hospital_1,2022-10-01,Department_34,9
Hospital_1,2022-10-01,Department_35,2
Hospital_1,2022-10-01,Department_36,1
Hospital_1,2022-10-01,Department_37,1
Hospital_1,2022-10-01,Department_38,2
Hospital_1,2022-10-01,Department_39,1
Hospital_1,2022-10-01,Department_40,2
Hospital_1,2022-10-01,Department_44,2
Hospital_1,2022-10-01,Department_46,2
Hospital_1,2022-10-01,Department_47,1
Hospital_1,2022-10-01,Department_50,2
Hospital_1,2022-10-01,Department_51,1
Hospital_1,2022-10-01,Department_55,1
Hospital_1,2022-10-01,Department_58,2
Hospital_1,2022-10-01,Department_59,1
Hospital_1,2022-11-01,Department_01,265
Hospital_1,2022-11-01,Department_02,209
Hospital_1,2022-11-01,Department_03,141
Hospital_1,2022-11-01,Department_04,117
Hospital_1,2022-11-01,Department_05,81
Hospital_1,2022-11-01,Department_06,85
Hospital_1,2022-11-01,Department_07,67
Hospital_1,2022-11-01,Department_08,77
Hospital_1,2022-11-01,Department_09,60
Hospital_1,2022-11-01,Department_10,64
Hospital_1,2022-11-01,Department_11,56
Hospital_1,2022-11-01,Department_12,45
Hospital_1,2022-11-01,Department_13,51
Hospital_1,2022-11-01,Department_14,29
Hospital_1,2022-11-01,Department_15,40
Hospital_1,2022-11-01,Department_16,20
Hospital_1,2022-11-01,Department_17,35
Hospital_1,2022-11-01,Department_18,23
Hospital_1,2022-11-01,Department_19,28
Hospital_1,2022-11-01,Department_20,21
Hospital_1,2022-11-01,Department_21,22
Hospital_1,2022-11-01,Department_22,12
Hospital_1,2022-11-01,Department_23,17
Hospital_1,2022-11-01,Department_24,17
Hospital_1,2022-11-01,Department_25,13
Hospital_1,2022-11-01,Department_26,8
Hospital_1,2022-11-01,Department_27,13
Hospital_1,2022-11-01,Department_28,7
Hospital_1,2022-11-01,Department_29,11
Hospital_1,2022-11-01,Department_30,9
Hospital_1,2022-11-01,Department_31,2
Hospital_1,2022-11-01,Department_32,11
Hospital_1,2022-11-01,Department_33,7
Hospital_1,2022-11-01,Department_34,8
Hospital_1,2022-11-01,Department_35,3
Hospital_1,2022-11-01,Department_36,4
Hospital_1,2022-11-01,Department_37,4
Hospital_1,2022-11-01,Department_38,3
Hospital_1,2022-11-01,Department_39,9
Hospital_1,2022-11-01,Department_40,2
Hospital_1,2022-11-01,Department_42,4
Hospital_1,2022-11-01,Department_43,4
Hospital_1,2022-11-01,Department_44,2
Hospital_1,2022-11-01,Department_46,2
Hospital_1,2022-11-01,Department_50,2
Hospital_1,2022-11-01,Department_57,1
Hospital_1,2022-11-01,Department_61,1
Hospital_1,2022-12-01,Department_01,246
Hospital_1,2022-12-01,Department_02,145
Hospital_1,2022-12-01,Department_03,147
Hospital_1,2022-12-01,Department_04,104
Hospital_1,2022-12-01,Department_05,71
Hospital_1,2022-12-01,Department_06,58
Hospital_1,2022-12-01,Department_07,54
Hospital_1,2022-12-01,Department_08,90
Hospital_1,2022-12-01,Department_09,66
Hospital_1,2022-12-01,Department_10,56
Hospital_1,2022-12-01,Department_11,61
Hospital_1,2022-12-01,Department_12,49
Hospital_1,2022-12-01,Department_13,34
Hospital_1,2022-12-01,Department_14,36
Hospital_1,2022-12-01,Department_15,29
Hospital_1,2022-12-01,Department_16,21
Hospital_1,2022-12-01,Department_17,16
Hospital_1,2022-12-01,Department_18,23
Hospital_1,2022-12-01,Department_19,20
Hospital_1,2022-12-01,Department_20,15
Hospital_1,2022-12-01,Department_21,25
Hospital_1,2022-12-01,Department_22,7
Hospital_1,2022-12-01,Department_23,12
Hospital_1,2022-12-01,Department_24,21
Hospital_1,2022-12-01,Department_25,10
Hospital_1,2022-12-01,Department_26,12
Hospital_1,2022-12-01,Department_27,16
Hospital_1,2022-12-01,Department_28,12
Hospital_1,2022-12-01,Department_29,6
Hospital_1,2022-12-01,Department_30,11
Hospital_1,2022-12-01,Department_31,9
Hospital_1,2022-12-01,Department_32,5
Hospital_1,2022-12-01,Department_33,1
Hospital_1,2022-12-01,Department_34,2
Hospital_1,2022-12-01,Department_35,8
Hospital_1,2022-12-01,Department_36,3
Hospital_1,2022-12-01,Department_37,2
Hospital_1,2022-12-01,Department_38,5
Hospital_1,2022-12-01,Department_39,1
Hospital_1,2022-12-01,Department_42,1
Hospital_1,2022-12-01,Department_45,2
Hospital_1,2022-12-01,Department_51,2
Hospital_1,2022-12-01,Department_52,1
Hospital_1,2022-12-01,Department_54,2
Hospital_1,2023-01-01,Department_01,307
Hospital_1,2023-01-01,Department_02,156
Hospital_1,2023-01-01,Department_03,144
Hospital_1,2023-01-01,Department_04,103
Hospital_1,2023-01-01,Department_05,107
Hospital_1,2023-01-01,Department_06,67
Hospital_1,2023-01-01,Department_07,54
Hospital_1,2023-01-01,Department_08,73
Hospital_1,2023-01-01,Department_09,50
Hospital_1,2023-01-01,Department_10,64
Hospital_1,2023-01-01,Department_11,42
Hospital_1,2023-01-01,Department_12,46
Hospital_1,2023-01-01,Department_13,52
Hospital_1,2023-01-01,Department_14,33
Hospital_1,2023-01-01,Department_15,44
Hospital_1,2023-01-01,Department_16,26
Hospital_1,2023-01-01,Department_17,26
Hospital_1,2023-01-01,Department_18,23
Hospital_1,2023-01-01,Department_19,24
Hospital_1,2023-01-01,Department_20,16
Hospital_1,2023-01-01,Department_21,23
Hospital_1,2023-01-01,Department_22,11
Hospital_1,2023-01-01,Department_23,22
Hospital_1,2023-01-01,Department_24,8
Hospital_1,2023-01-01,Department_25,7
Hospital_1,2023-01-01,Department_26,13
Hospital_1,2023-01-01,Department_27,14
Hospital_1,2023-01-01,Department_28,8
Hospital_1,2023-01-01,Department_29,7
Hospital_1,2023-01-01,Department_30,5
Hospital_1,2023-01-01,Department_31,8
Hospital_1,2023-01-01,Department_32,3
Hospital_1,2023-01-01,Department_33,6
Hospital_1,2023-01-01,Department_34,4
Hospital_1,2023-01-01,Department_35,2
Hospital_1,2023-01-01,Department_36,4
Hospital_1,2023-01-01,Department_37,5
Hospital_1,2023-01-01,Department_38,1
Hospital_1,2023-01-01,Department_40,6
Hospital_1,2023-01-01,Department_41,5
Hospital_1,2023-01-01,Department_42,1
Hospital_1,2023-01-01,Department_46,1
Hospital_1,2023-01-01,Department_49,1
Hospital_1,2023-01-01,Department_50,4
Hospital_1,2023-01-01,Department_51,3
Hospital_1,2023-01-01,Department_55,1
Hospital_1,2023-01-01,Department_57,2
Hospital_1,2023-01-01,Department_61,1
Hospital_1,2023-02-01,Department_01,267
Hospital_1,2023-02-01,Department_02,196
Hospital_1,2023-02-01,Department_03,131
Hospital_1,2023-02-01,Department_04,102
Hospital_1,2023-02-01,Department_05,98
Hospital_1,2023-02-01,Department_06,72
Hospital_1,2023-02-01,Department_07,72
Hospital_1,2023-02-01,Department_08,65
Hospital_1,2023-02-01,Department_09,64
Hospital_1,2023-02-01,Department_10,52
Hospital_1,2023-02-01,Department_11,49
Hospital_1,2023-02-01,Department_12,55
Hospital_1,2023-02-01,Department_13,45
Hospital_1,2023-02-01,Department_14,23
Hospital_1,2023-02-01,Department_15,20
Hospital_1,2023-02-01,Department_16,34
Hospital_1,2023-02-01,Department_17,21
Hospital_1,2023-02-01,Department_18,21
Hospital_1,2023-02-01,Department_19,31
Hospital_1,2023-02-01,Department_20,20
Hospital_1,2023-02-01,Department_21,11
Hospital_1,2023-02-01,Department_22,14
Hospital_1,2023-02-01,Department_23,18
Hospital_1,2023-02-01,Department_24,6
Hospital_1,2023-02-01,Department_25,10
Hospital_1,2023-02-01,Department_26,11
Hospital_1,2023-02-01,Department_27,7
Hospital_1,2023-02-01,Department_28,8
Hospital_1,2023-02-01,Department_29,4
Hospital_1,2023-02-01,Department_30,6
Hospital_1,2023-02-01,Department_31,10
Hospital_1,2023-02-01,Department_32,5
Hospital_1,2023-02-01,Department_33,3
Hospital_1,2023-02-01,Department_34,5
Hospital_1,2023-02-01,Department_35,2
Hospital_1,2023-02-01,Department_36,4
Hospital_1,2023-02-01,Department_37,4
Hospital_1,2023-02-01,Department_38,3
Hospital_1,2023-02-01,Department_39,3
Hospital_1,2023-02-01,Department_40,3
Hospital_1,2023-02-01,Department_41,1
Hospital_1,2023-02-01,Department_42,1
Hospital_1,2023-02-01,Department_43,1
Hospital_1,2023-02-01,Department_44,1
Hospital_1,2023-02-01,Department_46,1
Hospital_1,2023-02-01,Department_47,3
Hospital_1,2023-02-01,Department_48,3
Hospital_1,2023-02-01,Department_51,1
Hospital_1,2023-02-01,Department_56,1
Hospital_1,2023-02-01,Department_57,3
Hospital_1,2023-03-01,Department_01,304
Hospital_1,2023-03-01,Department_02,165
Hospital_1,2023-03-01,Department_03,145
Hospital_1,2023-03-01,Department_04,109
Hospital_1,2023-03-01,Department_05,92
Hospital_1,2023-03-01,Department_06,77
Hospital_1,2023-03-01,Department_07,76
Hospital_1,2023-03-01,Department_08,59
Hospital_1,2023-03-01,Department_09,61
Hospital_1,2023-03-01,Department_10,55
Hospital_1,2023-03-01,Department_11,60
Hospital_1,2023-03-01,Department_12,71
Hospital_1,2023-03-01,Department_13,50
Hospital_1,2023-03-01,Department_14,43
Hospital_1,2023-03-01,Department_15,34
Hospital_1,2023-03-01,Department_16,24
Hospital_1,2023-03-01,Department_17,23
Hospital_1,2023-03-01,Department_18,38
Hospital_1,2023-03-01,Department_19,16
Hospital_1,2023-03-01,Department_20,24
Hospital_1,2023-03-01,Department_21,17
Hospital_1,2023-03-01,Department_22,10
Hospital_1,2023-03-01,Department_23,18
Hospital_1,2023-03-01,Department_24,20
Hospital_1,2023-03-01,Department_25,12
Hospital_1,2023-03-01,Department_26,16
Hospital_1,2023-03-01,Department_27,12
Hospital_1,2023-03-01,Department_28,18
Hospital_1,2023-03-01,Department_29,8
Hospital_1,2023-03-01,Department_30,7
Hospital_1,2023-03-01,Department_31,11
Hospital_1,2023-03-01,Department_32,1
Hospital_1,2023-03-01,Department_33,3
Hospital_1,2023-03-01,Department_34,7
Hospital_1,2023-03-01,Department_35,2
Hospital_1,2023-03-01,Department_36,6
Hospital_1,2023-03-01,Department_37,3
Hospital_1,2023-03-01,Department_38,6
Hospital_1,2023-03-01,Department_39,4
Hospital_1,2023-03-01,Department_40,3
Hospital_1,2023-03-01,Department_41,4
Hospital_1,2023-03-01,Department_42,3
Hospital_1,2023-03-01,Department_43,1
Hospital_1,2023-03-01,Department_48,2
Hospital_1,2023-03-01,Department_49,1
Hospital_1,2023-03-01,Department_50,4
Hospital_1,2023-03-01,Department_52,1
Hospital_1,2023-03-01,Department_55,1
Hospital_1,2023-03-01,Department_57,1
Hospital_1,2023-03-01,Department_64,1
Hospital_1,2023-04-01,Department_01,234
Hospital_1,2023-04-01,Department_02,137
Hospital_1,2023-04-01,Department_03,103
Hospital_1,2023-04-01,Department_04,93
Hospital_1,2023-04-01,Department_05,72
Hospital_1,2023-04-01,Department_06,63
Hospital_1,2023-04-01,Department_07,52
Hospital_1,2023-04-01,Department_08,42
Hospital_1,2023-04-01,Department_09,55
Hospital_1,2023-04-01,Department_10,61
Hospital_1,2023-04-01,Department_11,46
Hospital_1,2023-04-01,Department_12,47
Hospital_1,2023-04-01,Department_13,25
Hospital_1,2023-04-01,Department_14,26
Hospital_1,2023-04-01,Department_15,36
Hospital_1,2023-04-01,Department_16,25
Hospital_1,2023-04-01,Department_17,22
Hospital_1,2023-04-01,Department_18,20
Hospital_1,2023-04-01,Department_19,17
Hospital_1,2023-04-01,Department_20,19
Hospital_1,2023-04-01,Department_21,10
Hospital_1,2023-04-01,Department_22,6
Hospital_1,2023-04-01,Department_23,16
Hospital_1,2023-04-01,Department_24,7
Hospital_1,2023-04-01,Department_25,10
Hospital_1,2023-04-01,Department_26,6
Hospital_1,2023-04-01,Department_27,5
Hospital_1,2023-04-01,Department_28,7
Hospital_1,2023-04-01,Department_29,7
Hospital_1,2023-04-01,Department_30,7
Hospital_1,2023-04-01,Department_31,3
Hospital_1,2023-04-01,Department_32,3
Hospital_1,2023-04-01,Department_33,5
Hospital_1,2023-04-01,Department_34,5
Hospital_1,2023-04-01,Department_35,7
Hospital_1,2023-04-01,Department_36,2
Hospital_1,2023-04-01,Department_37,2
Hospital_1,2023-04-01,Department_38,3
Hospital_1,2023-04-01,Department_39,3
Hospital_1,2023-04-01,Department_40,3
Hospital_1,2023-04-01,Department_41,4
Hospital_1,2023-04-01,Department_42,6
Hospital_1,2023-04-01,Department_44,2
Hospital_1,2023-04-01,Department_45,1
Hospital_1,2023-04-01,Department_46,1
Hospital_1,2023-04-01,Department_49,1
Hospital_1,2023-04-01,Department_50,1
Hospital_1,2023-04-01,Department_52,2
Hospital_1,2023-04-01,Department_53,3
Hospital_1,2023-05-01,Department_01,290
Hospital_1,2023-05-01,Department_02,202
Hospital_1,2023-05-01,Department_03,142
Hospital_1,2023-05-01,Department_04,122
Hospital_1,2023-05-01,Department_05,110
Hospital_1,2023-05-01,Department_06,79
Hospital_1,2023-05-01,Department_07,72
Hospital_1,2023-05-01,Department_08,63
Hospital_1,2023-05-01,Department_09,68
Hospital_1,2023-05-01,Department_10,73
Hospital_1,2023-05-01,Department_11,57
Hospital_1,2023-05-01,Department_12,37
Hospital_1,2023-05-01,Department_13,44
Hospital_1,2023-05-01,Department_14,30
Hospital_1,2023-05-01,Department_15,30
Hospital_1,2023-05-01,Department_16,32
Hospital_1,2023-05-01,Department_17,27
Hospital_1,2023-05-01,Department_18,23
Hospital_1,2023-05-01,Department_19,28
Hospital_1,2023-05-01,Department_20,16
Hospital_1,2023-05-01,Department_21,18
Hospital_1,2023-05-01,Department_22,30
Hospital_1,2023-05-01,Department_23,11
Hospital_1,2023-05-01,Department_24,9
Hospital_1,2023-05-01,Department_25,10
Hospital_1,2023-05-01,Department_26,10
Hospital_1,2023-05-01,Department_27,18
Hospital_1,2023-05-01,Department_28,13
Hospital_1,2023-05-01,Department_29,7
Hospital_1,2023-05-01,Department_30,8
Hospital_1,2023-05-01,Department_31,8
Hospital_1,2023-05-01,Department_32,6
Hospital_1,2023-05-01,Department_33,4
Hospital_1,2023-05-01,Department_34,3
Hospital_1,2023-05-01,Department_35,4
Hospital_1,2023-05-01,Department_36,3
Hospital_1,2023-05-01,Department_38,2
Hospital_1,2023-05-01,Department_39,6
Hospital_1,2023-05-01,Department_40,1
Hospital_1,2023-05-01,Department_41,3
Hospital_1,2023-05-01,Department_42,3
Hospital_1,2023-05-01,Department_43,5
Hospital_1,2023-05-01,Department_44,2
Hospital_1,2023-05-01,Department_45,5
Hospital_1,2023-05-01,Department_46,2
Hospital_1,2023-05-01,Department_47,1
Hospital_1,2023-05-01,Department_48,1
Hospital_1,2023-05-01,Department_49,2
Hospital_1,2023-05-01,Department_53,1
Hospital_1,2023-05-01,Department_55,1
Hospital_1,2023-05-01,Department_60,1
Hospital_1,2023-06-01,Department_01,277
Hospital_1,2023-06-01,Department_02,147
Hospital_1,2023-06-01,Department_03,123
Hospital_1,2023-06-01,Department_04,116
Hospital_1,2023-06-01,Department_05,86
Hospital_1,2023-06-01,Department_06,74
Hospital_1,2023-06-01,Department_07,61
Hospital_1,2023-06-01,Department_08,60
Hospital_1,2023-06-01,Department_09,52
Hospital_1,2023-06-01,Department_10,55
Hospital_1,2023-06-01,Department_11,61
Hospital_1,2023-06-01,Department_12,51
Hospital_1,2023-06-01,Department_13,54
Hospital_1,2023-06-01,Department_14,28
Hospital_1,2023-06-01,Department_15,20
Hospital_1,2023-06-01,Department_16,35
Hospital_1,2023-06-01,Department_17,28
Hospital_1,2023-06-01,Department_18,30
Hospital_1,2023-06-01,Department_19,30
Hospital_1,2023-06-01,Department_20,15
Hospital_1,2023-06-01,Department_21,17
Hospital_1,2023-06-01,Department_22,18
Hospital_1,2023-06-01,Department_23,16
Hospital_1,2023-06-01,Department_24,9
Hospital_1,2023-06-01,Department_25,7
Hospital_1,2023-06-01,Department_26,11
Hospital_1,2023-06-01,Department_27,12
Hospital_1,2023-06-01,Department_28,13
Hospital_1,2023-06-01,Department_29,15
Hospital_1,2023-06-01,Department_30,7
Hospital_1,2023-06-01,Department_31,5
Hospital_1,2023-06-01,Department_32,1
Hospital_1,2023-06-01,Department_33,7
Hospital_1,2023-06-01,Department_34,4
Hospital_1,2023-06-01,Department_35,2
Hospital_1,2023-06-01,Department_36,1
Hospital_1,2023-06-01,Department_37,1
Hospital_1,2023-06-01,Department_38,6
Hospital_1,2023-06-01,Department_40,2
Hospital_1,2023-06-01,Department_41,2
Hospital_1,2023-06-01,Department_42,2
Hospital_1,2023-06-01,Department_44,2
Hospital_1,2023-06-01,Department_45,2
Hospital_1,2023-06-01,Department_46,1
Hospital_1,2023-06-01,Department_47,2
